Book-Title,Book-Author,Year-Of-Publication,Image-URL-M
1984,George Orwell,1990,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
1st to Die: A Novel,James Patterson,2002,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg
2nd Chance,James Patterson,2002,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg
4 Blondes,Candace Bushnell,2002,http://images.amazon.com/images/P/0451203895.01.MZZZZZZZ.jpg
A Bend in the Road,Nicholas Sparks,2001,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg
A Case of Need,Michael Crichton,1994,http://images.amazon.com/images/P/0451183665.01.MZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg
A Civil Action,JONATHAN HARR,1996,http://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg
A Day Late and a Dollar Short,Terry McMillan,2002,http://images.amazon.com/images/P/0451204948.01.MZZZZZZZ.jpg
A Fine Balance,Rohinton Mistry,2001,http://images.amazon.com/images/P/140003065X.01.MZZZZZZZ.jpg
A Great Deliverance,Elizabeth George,1989,http://images.amazon.com/images/P/0553278029.01.MZZZZZZZ.jpg
A Heartbreaking Work of Staggering Genius,Dave Eggers,2001,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987,http://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997,http://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg
A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,1999,http://images.amazon.com/images/P/0525945210.01.MZZZZZZZ.jpg
A Man in Full,Tom Wolfe,1998,http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg
A Map of the World,Jane Hamilton,1999,http://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg
A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg
A Patchwork Planet,ANNE TYLER,2001,http://images.amazon.com/images/P/080411918X.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,John Irving,1990,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,http://images.amazon.com/images/P/0553571885.01.MZZZZZZZ.jpg
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,http://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg
A Time to Kill,JOHN GRISHAM,1992,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg
A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,http://images.amazon.com/images/P/0375703063.01.MZZZZZZZ.jpg
A Walk to Remember,Nicholas Sparks,2000,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg
A Widow for One Year,JOHN IRVING,1999,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg
A Wrinkle In Time,MADELEINE L'ENGLE,1998,http://images.amazon.com/images/P/0440498058.01.MZZZZZZZ.jpg
A Wrinkle in Time,Madeleine L'Engle,1976,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg
A Year in Provence,Peter Mayle,1991,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg
ANGELA'S ASHES,Frank McCourt,1996,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg
About a Boy,Nick Hornby,1999,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg
Absolute Power,David Baldacci,1996,http://images.amazon.com/images/P/0446519960.01.MZZZZZZZ.jpg
Acceptable Risk,Robin Cook,1996,http://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg
Accident,Danielle Steel,1994,http://images.amazon.com/images/P/0385306024.01.MZZZZZZZ.jpg
Airframe,Michael Crichton,1997,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
All Around the Town,Mary Higgins Clark,1993,http://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg
All I Really Need to Know,ROBERT FULGHUM,1989,http://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg
"All the Pretty Horses (The Border Trilogy, Vol 1)",CORMAC MCCARTHY,1993,http://images.amazon.com/images/P/0679744398.01.MZZZZZZZ.jpg
Along Came a Spider (Alex Cross Novels),James Patterson,1993,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg
American Gods,Neil Gaiman,2002,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg
Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg
Angela's Ashes: A Memoir,Frank McCourt,1999,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg
Angels,Marian Keyes,2002,http://images.amazon.com/images/P/0060008024.01.MZZZZZZZ.jpg
Angels &amp; Demons,Dan Brown,2001,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,http://images.amazon.com/images/P/0064472272.01.MZZZZZZZ.jpg
Animal Dreams,Barbara Kingsolver,1991,http://images.amazon.com/images/P/0060921145.01.MZZZZZZZ.jpg
Animal Farm,George Orwell,2004,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg
Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,http://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg
Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,http://images.amazon.com/images/P/0553213148.01.MZZZZZZZ.jpg
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,http://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg
Anne of the Island,Lucy Maud Montgomery,1983,http://images.amazon.com/images/P/0553213172.01.MZZZZZZZ.jpg
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,http://images.amazon.com/images/P/0786817070.01.MZZZZZZZ.jpg
Ashes to Ashes,TAMI HOAG,2000,http://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg
At Home in Mitford (The Mitford Years),Jan Karon,1996,http://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg
Atonement : A Novel,IAN MCEWAN,2003,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,http://images.amazon.com/images/P/0553280341.01.MZZZZZZZ.jpg
Back Roads,Tawni O'Dell,2001,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg
Bag of Bones,Stephen King,1999,http://images.amazon.com/images/P/067102423X.01.MZZZZZZZ.jpg
Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg
Bastard Out of Carolina,Dorothy Allison,1993,http://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg
Beach House,Mary Alice Monroe,2002,http://images.amazon.com/images/P/1551668998.01.MZZZZZZZ.jpg
Beach Music,PAT CONROY,1995,http://images.amazon.com/images/P/0385413041.01.MZZZZZZZ.jpg
Before I Say Good-Bye,Mary Higgins Clark,2001,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg
Bel Canto: A Novel,Ann Patchett,2002,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg
Beloved,Toni Morrison,1998,http://images.amazon.com/images/P/0452280621.01.MZZZZZZZ.jpg
Beloved (Plume Contemporary Fiction),Toni Morrison,1994,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
Betrayal in Death,Nora Roberts,2001,http://images.amazon.com/images/P/0425178579.01.MZZZZZZZ.jpg
Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg
Big Trouble,Dave Barry,2002,http://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg
Billy Straight : A Novel,JONATHAN KELLERMAN,1999,http://images.amazon.com/images/P/0345413865.01.MZZZZZZZ.jpg
Birthright,Nora Roberts,2004,http://images.amazon.com/images/P/0515137111.01.MZZZZZZZ.jpg
Bittersweet,DANIELLE STEEL,2000,http://images.amazon.com/images/P/0440224845.01.MZZZZZZZ.jpg
Black House,Stephen King,2001,http://images.amazon.com/images/P/0375504397.01.MZZZZZZZ.jpg
